GCA023420715	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	JAAYOA01	JAAYOA01 sp023420715
GCA023420745	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Gleimia	Gleimia sp023420745
GCA023420795	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Noviherbaspirillum	Noviherbaspirillum sp023420795
GCA023420895	Bacteria	Bacillota	Clostridia	Tissierellales	Gottschalkiaceae	Andreesenia	Andreesenia sp023420895
GCA023420935	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mobilisporobacter	Mobilisporobacter sp023420935
GCA023421075	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea sp023421075
GCA023421115	Bacteria	Bacillota	Clostridia	Acetivibrionales	Acetivibrionaceae	Acetivibrio	Acetivibrio sp023421115
GCA023421135	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	PHBP01	PHBP01 sp023421135
GCA023421245	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Acetanaerobacterium	Acetanaerobacterium sp023421245
GCA023421395	Bacteria	Bacillota	Clostridia	Christensenellales	Aristaeellaceae	JAEZHK01	JAEZHK01 sp023421395
GCA023421505	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea sp023421505
GCA023421635	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Microbacterium	Microbacterium sp023421635
GCA023421675	Bacteria	Bacillota	Clostridia	Acetivibrionales	JANLFN01	JAEZTC01	JAEZTC01 sp023421675
GCA023421795	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	JAEZOG01	JAEZOG01 sp023421795
GCA023421875	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Rectinemataceae	UBA2256	UBA2256 sp023421875
GCA023421955	Bacteria	Bacillota	Clostridia	Christensenellales	UMGS416	JAEYRA01	JAEYRA01 sp023421955
GCA023422005	Bacteria	Bacillota	Clostridia	Christensenellales	UMGS416	JAEYRA01	JAEYRA01 sp023422005
GCA023422095	Bacteria	Bacillota	Bacilli	RFN20	CAG-826	JAAYDH01	JAAYDH01 sp023422095
GCA023422115	Bacteria	Bacillota	Bacilli	ML615J-28	CAG-698	JAAYBG01	JAAYBG01 sp023422115
GCA023422485	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	Methylobacterium sp023422485
GCA023422555	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Advenella	Advenella sp023422555
GCA023422565	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter sp023422565
GCA023422635	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	JAFAGO01	JAFAGO01 sp023422635
GCA023422695	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp023422695
GCA023422735	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Tianweitania	Tianweitania sp023422735
GCA023422775	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium sp023422775
GCA023422955	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	JAEZLB01	JAEZLB01 sp023422955
GCA023422975	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Comamonas	Comamonas sp023422975
GCA023423015	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavitalea	Flavitalea sp023423015
GCA023423045	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea sp023423045
GCA023423065	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	CADEED01	CADEED01 sp023423065
GCA023423215	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Microtrichaceae	JAFAFZ01	JAFAFZ01 sp023423215
GCA023423235	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Luteimonas sp023423235
GCA023423275	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	ZC4RG25	ZC4RG25 sp023423275
GCA023423285	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niabella	Niabella sp023423285
GCA023423335	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea sp023423335
GCA023423405	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	Flavihumibacter sp023423405
GCA023423415	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	Pseudorhodoplanes sp023423415
GCA023423475	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Microtrichaceae	JAFAFN01	JAFAFN01 sp023423475
GCA023423495	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	55-13	55-13 sp023423495
GCA023423535	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	JAFAFL01	JAFAFL01 sp023423535
GCA023423655	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	JAFAFE01	JAFAFE01 sp023423655
GCA023423695	Bacteria	Pseudomonadota	Alphaproteobacteria	Azospirillales	Azospirillaceae	Azospirillum	Azospirillum sp023423695
GCA023423715	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	JAFAFC01	JAFAFC01 sp023423715
GCA023423775	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Allosphingosinicella	Allosphingosinicella sp023423775
GCA023423795	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	UBA6265	CADCWF01	CADCWF01 sp023423795
GCA023423835	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	JAFAEW01	JAFAEW01 sp023423835
GCA023423855	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Luteimonas sp023423855
GCA023423895	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Labilithrix	Labilithrix sp023423895
GCA023423935	Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Povalibacter	Povalibacter sp023423935
GCA023423975	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Advenella	Advenella sp023423975
GCA023423995	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Enterovirga	Enterovirga sp023423995
GCA023424015	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas_B	Terrimonas_B sp023424015
GCA023424095	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Allosphingosinicella	Allosphingosinicella sp023424095
GCA023424135	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Cellulomonadaceae	Cellulomonas	Cellulomonas sp023424135
GCA023424215	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp023424215
GCA023424235	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna	Anaerocolumna sp023424235
GCA023424275	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis sp023424275
GCA023424355	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	UBA6265	UBA6265	UBA6265 sp023424355
GCA023424395	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	JAFADY01	JAFADY01 sp023424395
GCA023424475	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Neoroseomonas	Neoroseomonas sp023424475
GCA023424585	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Corallococcus	Corallococcus sp023424585
GCA023424725	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	JAFADQ01	JAFADQ01 sp023424725
GCA023424785	Bacteria	Bacillota	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp023424785
GCA023424965	Bacteria	Bacillota	Clostridia	Acetivibrionales	JAFADI01	JAFADI01	JAFADI01 sp023424965
GCA023424995	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea sp023424995
GCA023425025	Bacteria	Bacillota	Clostridia	Christensenellales	Aristaeellaceae	JAEWAH01	JAEWAH01 sp023425025
GCA023425145	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Propionicimonas	Propionicimonas sp023425145
GCA023425225	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	MMGLT7	MMGLT7 sp023425225
GCA023425285	Bacteria	Bacillota	Clostridia	Tissierellales	Sedimentibacteraceae	Sedimentibacter	Sedimentibacter sp023425285
GCA023425455	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter sp023425455
